name,yeast_id,style_id,color_id,taste_id,level,photo,origine,,Title_URL,Title1,description,,
AUGUSTIJN BLONDE  ,1,43,2,5,7,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/611357/664e23c2e7a44105458272.png.webp,Belgique,Pale Ale,https://www.vandb.fr/biere/augustijn-blonde-33-cl.html,Bouteille de 0.33 L,Blonde Pale Ale 7 % Van Steenberge - Belgique,Blonde,%
AUGUSTINER EDELSTOFF  ,2,13,2,2,5.6,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/531952/660c3317c93a0326499300.png.webp,Allemagne,Lager,https://www.vandb.fr/biere/augustiner-edelstoff-50-cl.html,Bouteille de 0.5 L,Blonde Lager 5.6 % Augustiner Bräu - Allemagne,Blonde,%
AUGUSTINER HELL  ,2,7,2,5,5.2,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/531950/660c331600569919705166.png.webp,Allemagne,Helles,https://www.vandb.fr/biere/augustiner-hell-50-cl.html,Bouteille de 0.5 L,Blonde Helles 5.2 % Augustiner Bräu - Allemagne,Blonde,%
AUGUSTINER WEISSBIER  ,2,16,1,9,5.4,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/531951/660c3316453bf573816912.png.webp,Allemagne,Weissbier,https://www.vandb.fr/biere/augustiner-weissbier-50-cl.html,Bouteille de 0.5 L,Blanche Weissbier 5.4 % Augustiner Bräu - Allemagne,Blanche,%
AURORA  ,1,12,4,5,5.5,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/610501/664e130a463db391643688.png.webp,France,Wheat Ale,https://www.vandb.fr/biere/aurora-33-cl.html,Canette de 0.33 L,Rosé Wheat Ale 5.5 % Mont Hardi - France,Rosé,%
AVALANCHE  ,1,33,2,2,4,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/614913/664e44420e5bc971658729.png.webp,Irlande,Pale Ale,https://www.vandb.fr/biere/avalanche-33-cl.html,Bouteille de 0.33 L,Blonde Pale Ale 4 % Wicklow Wolf - Irlande,Blonde,%
AVERBODE  ,1,30,2,5,7.5,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/544478/660f04d3a2a70400182607.png.webp,Belgique,Belgian Pale Ale,https://www.vandb.fr/biere/averbode-33-cl.html,Bouteille de 0.33 L,Blonde Belgian Pale Ale 7.5 % Huyghe - Belgique,Blonde,%
BABYLONE  ,1,55,3,2,7,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/521745/66069a505b2b7062886610.png.webp,Belgique,Bitter,https://www.vandb.fr/biere/babylone-33-cl.html,Bouteille de 0.33 L,Ambrée Bitter 7 % Brussels Beer Project - Belgique,Ambrée,%
"BACCHUS FRAMBOISE 37,5 CL",1,29,4,3,5,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/611363/664e23c946f47119319711.png.webp,Belgique,Aromatisée-fruitée,https://www.vandb.fr/biere/bacchus-framboise-37-5-cl.html,Bouteille de 0.38 L,Rouge Aromatisée-fruitée 5 % Van Honsebrouck - Belgique,Rouge,%
"BACCHUS KRIEK 37,5 CL",1,29,4,3,5.8,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/614942/664e446c5f098026265613.png.webp,Belgique,Aromatisée-fruitée,https://www.vandb.fr/biere/bacchus-kriek-37-5-cl.html,Bouteille de 0.38 L,Rouge Aromatisée-fruitée 5.8 % Van Honsebrouck - Belgique,Rouge,%
BAD CIRKUS DDH IPA  ,1,40,2,2,7.2,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/616113/664e4c56ae2a2354687582.png.webp,France,IPA,https://www.vandb.fr/biere/bad-cirkus-ddh-ipa-33-cl.html,Canette de 0.33 L,Blonde IPA 7.2 % La Débauche - France,Blonde,%
BADEN POWER BARLEY WINE RHUM  ,1,73,3,5,12,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/615105/664e45ad95465843408921.png.webp,France,Barley Wine,https://www.vandb.fr/biere/baden-power-barley-wine-rhum-33cl.html,Bouteille de 0.33 L,Ambrée Barley Wine 12 % O'clock - France,Ambrée,%
