id,name,city,website,type_id,active,zipcode
1968,La Loupiote,SAINT-GENIS-L'ARGENTIÈRE,brasserielaloupiote.fr,2,TRUE,69610
1969,Pix'ale,COLLONGES-AU-MONT-D'OR,www.pixale.fr,2,TRUE,69660
1970,Animus,VAUGNERAY,,2,TRUE,69670
1971,Sharoto,VAUGNERAY,sharohobrasserie.fr,2,TRUE,69670
1972,Karnotzet,MONTAGNY,www.brasseriekarnotzet.com,2,TRUE,69700
1973,La Beenouse,SAINT-BONNET-DE-MURE,,2,TRUE,69720
1974,Nomade Brewery,GENAS,nomadebiere.fr,2,TRUE,69740
1975,Kales,MONTROTTIER,www.kales-beer.fr,2,TRUE,69770
1976,Bee King,SAINT-PRIEST,www.beeking.fr,2,TRUE,69800
1977,Les 3 Brasseurs,SAINT-PRIEST,www.les3brasseurs.com,2,TRUE,69800
1978,La Brasserie Beaujolaise,FLEURIE,www.brasseriebeaujolaise.fr,2,TRUE,69820
1979,Ferme de la Poipe,SAINT-MARTIN-EN-HAUT,,2,TRUE,69850
1980,Amalthée,LAMURE-SUR-AZERGUES,brasserieamalthee.fr,2,TRUE,69870
1981,L'Affoleuse,SAINT-CYR-LE-CHATOUX,laffoleuse.net,2,TRUE,69870
1982,La Cadole,VILLIÉ-MORGON,www.brasserielacadole.fr,2,TRUE,69910
1983,de Chaponnay,CHAPONNAY,www.brasseriedechaponnay.fr,2,TRUE,69970
1984,La Razade,RAZE,www.larazade.com,2,TRUE,70000
1985,du 19 Juin,VESOUL,,2,TRUE,70000
1986,de la Rente Rouge,CHARGEY-LÈS-GRAY,www.larenterouge-brasserie.fr,2,TRUE,70100
1987,Redoutey,LAVIGNEY,www.brasserieredoutey.com,2,TRUE,70120
1988,Ad Libitum,ÉTUZ,,2,TRUE,70150
1989,L'Ours Brasseur,GRATTERY,www.loursbrasseur.fr,2,TRUE,70170
1990,Com'Tois,BEAUMOTTE-AUBERTANS,,2,TRUE,70190
1991,Dan's Beer,CIREY,,2,TRUE,70190
1992,La Malach,LA MALACHÈRE,lamalach.com,2,TRUE,70190
1993,Atypique,LURE,www.brasserie-atypique-lure.fr,2,TRUE,70200
1994,Roussel,DAMPIERRE-SUR-LINOTTE,,2,TRUE,70230
1995,Le Franc Brasseur,RONCHAMP,,2,TRUE,70250
1996,Adomeit,LUXEUIL-LES-BAINS,brasserie-adomeit.fr,2,TRUE,70300
1997,des 1000 Étangs,FAUCOGNEY-ET-LA-MER,www.brasseriedes1000etangs.fr,2,TRUE,70310
1998,"Bières Ney
La Patrimoine",BUCEY-LÈS-GY,,2,TRUE,70700
1999,de la Comté,BONNEVENT-VELLOREILLE,,2,TRUE,70700
2000,Belgo-Comtoise,GÉZIER-ET-FONTENELAY,www.brasseriebelgocomtoise.com,2,TRUE,70700
2001,Mâconnaise Bartonn,VARENNES-LÈS-MÂCON,bartonn.com,2,TRUE,71000
2002,"La Pompe à Bière
Chalon Bière Nouvelle",CHALON-SUR-SAÔNE,www.murphys-chalon-71.com,2,TRUE,71100
2003,Les 3 Brasseurs,CHALON-SUR-SAÔNE,www.les3brasseurs.com,2,TRUE,71100
2004,MIB,CHALON-SUR-SAÔNE,brasserie-mib.fr,2,TRUE,71100
2005,Kura,VENDENESSE-LÈS-CHAROLLES,kuradebourgogne.fr,2,TRUE,71120
2006,"Les Plains Monts
SAS Brasserie LPM",CHAGNY,www.brasserielesplainsmonts.com,2,TRUE,71150
2007,Les Trois Croix,CHEILLY-LÈS-MARANGES,brasserie-les-trois-croix.business.site,2,TRUE,71150
2008,Autre Monde,LE CREUSOT,brasserieautremonde.fr,2,TRUE,71200
2009,"Teddy Beer
SCOP Au-delà Des Nuages",PRESSY-SOUS-DONDIN,www.brasserieteddybeer.fr,2,TRUE,71220
2010,Les Bières de Max,ÉTRIGNY,,2,TRUE,71240
2011,de Corlay,NANTON,brasseriecorlay.wixsite.com/accueil,2,TRUE,71240
2012,Ammonite,SENNECEY-LE-GRAND,brasserie-ammonite.com,2,TRUE,71240
2013,de Cluny,CHÂTEAU,www.zouaffe.fr,2,TRUE,71250
