id,name,city,website,type_id,active,zipcode
2495,Franc Comtoise,GIROMAGNY,www.larebelle.net,2,TRUE,90200
2496,Belfortaine,VALDOIE,,2,TRUE,90300
2497,La Bouledogue,VILLEBON-SUR-YVETTE,www.labouledogue.com,2,TRUE,91140
2498,Kings of Nawak Brewery,ÉTAMPES,www.kingsofnawakbrewery.com,2,TRUE,91150
2499,Les 3 Brasseurs,BRÉTIGNY-SUR-ORGE,www.3brasseurs.com,2,TRUE,91220
2500,Gus,VERRIÈRES-LE-BUISSON,,2,TRUE,91370
2501,OX,MARCOUSSIS,brasserie-ox.fr,2,TRUE,91460
2502,de la Juine,JANVILLE-SUR-JUINE,www.brasseriedelajuine.fr,2,TRUE,91510
2503,Galilée,ANGERVILLE,www.brasserie-galilee.fr,2,TRUE,91670
2504,Morel,SACLAS,,2,TRUE,91690
2505,Inkraft Beer Company,SAINT-JEAN-DE-BEAUREGARD,www.inkraft.beer,2,TRUE,91940
2506,"Nemeto
O2 Seine",NANTERRE,www.brasserienemeto.fr,2,TRUE,92000
2507,Seguin Sound,BOULOGNE-BILLANCOURT,www.seguin-sound.com,2,TRUE,92100
2508,Craft Beers & Cie - Saint-Cloud,SAINT-CLOUD,www.craftbeersetcie.com,2,TRUE,92210
2509,"Petite Couronne
SAS Les Deux Frères",GENNEVILLIERS,www.petite-couronne.fr,2,TRUE,92230
2510,Rive Droite Rive Gauche,SÈVRES,www.bieres-rivedroiterivegauche.fr,2,TRUE,92310
2511,Les 3 Lézards,CHAVILLE,,2,TRUE,92370
2512,Demory,BOBIGNY,demoryparis.com,2,TRUE,93000
2513,Croix de Chavaux,MONTREUIL,croixdechavaux.com,2,TRUE,93100
2514,La Montreuilloise,MONTREUIL,la-montreuilloise.com,2,TRUE,93100
2515,La Française,NOISY-LE-GRAND,brasserielafrancaise.fr,2,TRUE,93160
2516,de la Fontaine,BAGNOLET,,2,TRUE,93170
2517,"Brasserie du Grand Paris
My Beer Company",SAINT-DENIS,www.bgp.paris,2,TRUE,93200
2518,Bière MIЯ,ROMAINVILLE,www.biere-mir.fr,2,TRUE,93230
2519,FrogBeer,PIERREFITTE-SUR-SEINE,www.frogpubs.com,2,TRUE,93380
